-250,-17.3071497281,-17.1791761985
-250,-17.2797343381,-16.8329297145
-250,-17.4077577144,-17.1680562572
-250,-17.3975864572,-17.3239297214
-240,-16.2224475358,-16.6335258194
-240,-16.9624754124,-16.3503047397
-240,-16.5290949825,-16.4087034763
-240,-16.5614804125,-16.6370778822
-230,-15.9344041472,-16.0229729517
-230,-16.0706056314,-16.2718634973
-230,-15.9704829411,-15.8417155788
-230,-15.9268205422,-15.9972006039
-220,-16.1833812874,-15.4459255412
-220,-15.3664708609,-15.604132121
-220,-15.3446234943,-15.2741757077
-220,-15.3167338051,-15.3646523279
-210,-14.8190407266,-15.1972763413
-210,-14.6749470517,-14.8563249029
-210,-14.9869311665,-14.8548274526
-210,-14.9145197472,-15.0975455538
-200,-14.1859659463,-14.3399474333
-200,-14.1607865809,-14.1193325883
-200,-14.1666202167,-14.3141328627
-200,-14.3836351811,-14.5775364438
-190,-13.6652074704,-13.8923015975
-190,-13.5205135881,-13.5978939062
-190,-13.5069127379,-13.51499008
-190,-13.5929291781,-13.8368264608
-180,-12.8395475818,-12.8536433905
-180,-12.8135052234,-13.1739999177
-180,-12.8063312427,-12.9311186815
-180,-12.8108837658,-12.8292814715
-170,-12.0551750434,-12.3323271153
-170,-12.0538558926,-12.0674800713
-170,-11.9266465777,-12.2150034689
-170,-11.8644496091,-12.4256165621
-160,-11.4133149192,-11.394476705
-160,-11.5274527947,-11.4720813341
-160,-11.5353453467,-11.7544320302
-160,-11.3665923328,-11.9089081471
-150,-10.6300428494,-10.7052877828
-150,-10.7232842243,-10.8777449386
-150,-10.9172201668,-11.1343892154
-150,-10.6361726319,-11.1485199616
-140,-9.9050327791,-10.2363853131
-140,-9.9158614193,-10.1731670591
-140,-9.8776915863,-10.1536193603
-140,-10.0143012364,-10.3929630591
-130,-9.2328654953,-9.6688571328
-130,-9.4273854701,-9.7415146804
-130,-9.4378414999,-9.6802501632
-130,-9.289380728,-9.5056896317
-120,-8.6345784568,-9.0897940665
-120,-8.5149212665,-8.8091801396
-120,-8.5380351819,-8.7199420469
-120,-8.4290682833,-8.716707653
-110,-7.9010277194,-8.0728046363
-110,-7.9608955065,-8.3176285866
